YEAR,MO,DY,HR,WS10M
2023,3,3,23,2.6
2023,3,4,0,2.5
2023,3,4,1,2.48
2023,3,4,2,2.38
2023,3,4,3,2.36
2023,3,4,4,2.54
2023,3,4,5,2.38
2023,3,4,6,2.16
2023,3,4,7,1.97
2023,3,4,8,1.94
2023,3,4,9,1.9
2023,3,4,10,1.74
2023,3,4,11,2.21
2023,3,4,12,3.07
2023,3,4,13,3.91
2023,3,4,14,4.4
2023,3,4,15,4.55
2023,3,4,16,4.67
2023,3,4,17,4.89
2023,3,4,18,4.95
2023,3,4,19,4.81
2023,3,4,20,4.41
2023,3,4,21,3.9
2023,3,4,22,2.78
2023,3,4,23,2.25
2023,3,5,0,2.36
2023,3,5,1,2.49
2023,3,5,2,2.36
2023,3,5,3,1.93
2023,3,5,4,1.51
2023,3,5,5,1.33
2023,3,5,6,1.33
2023,3,5,7,1.04
2023,3,5,8,1.01
2023,3,5,9,1.0
2023,3,5,10,1.09
2023,3,5,11,1.37
2023,3,5,12,2.28
2023,3,5,13,2.92
2023,3,5,14,3.51
2023,3,5,15,3.74
2023,3,5,16,3.94
2023,3,5,17,4.05
2023,3,5,18,3.94
2023,3,5,19,3.72
2023,3,5,20,3.47
2023,3,5,21,3.01
2023,3,5,22,1.92
2023,3,5,23,1.06
2023,3,6,0,0.59
2023,3,6,1,0.37
2023,3,6,2,0.46
2023,3,6,3,0.64
2023,3,6,4,0.86
2023,3,6,5,1.06
2023,3,6,6,1.1
2023,3,6,7,0.84
2023,3,6,8,0.72
2023,3,6,9,0.7
2023,3,6,10,0.73
2023,3,6,11,0.79
2023,3,6,12,1.27
2023,3,6,13,2.06
2023,3,6,14,3.07
2023,3,6,15,3.81
2023,3,6,16,4.09
2023,3,6,17,4.03
2023,3,6,18,3.83
2023,3,6,19,3.65
2023,3,6,20,3.47
2023,3,6,21,3.24
2023,3,6,22,2.52
2023,3,6,23,1.83
2023,3,7,0,1.94
2023,3,7,1,1.79
2023,3,7,2,1.54
2023,3,7,3,1.35
2023,3,7,4,1.16
2023,3,7,5,1.04
2023,3,7,6,0.96
2023,3,7,7,0.9
2023,3,7,8,0.9
2023,3,7,9,0.89
2023,3,7,10,0.92
2023,3,7,11,0.97
